名称,型号,库存,盘点日期,位置,物资描述及照片,借用
SATA铁锤,B92331,1,2016-11-27 10:44:00,03_02_02,,
WYNNS铁锤,,,2016-11-27 10:44:00,03_02_02,,
SATA橡胶锤,92903,1,2016-11-27 10:44:00,03_02_02,,
SATA橡胶锤,92901,1,2016-11-27 10:44:00,03_02_02,,
红色橡胶锤,,1,2016-11-27 10:44:00,03_02_02,,
普通铁锤,,2,2016-11-27 10:44:00,03_02_02,,
BOSCH套钻头,HSS DIN 338,2,2016-11-27 10:44:00,03_02_03,,
BOSCH盒小钻头,HSS-G,1,2016-11-27 10:44:00,03_02_03,,
红色铁盒套钻头,,2,2016-11-27 10:44:00,03_02_03,,
CHENG KE钻头,NO：BO-2,,2016-11-27 10:44:00,03_02_03,,
牛王牌钻头,,,2016-11-27 10:44:00,03_02_03,,
BOSCH钻头,JXBS,4,2016-11-27 10:44:00,03_02_03,,
BOSCH钻头,JXES,,2016-11-27 10:44:00,03_02_03,,
光福钻头,,,2016-11-27 10:44:00,03_02_03,,
BOSCH钻头,HSS,4,2016-11-27 10:44:00,03_02_03,,
杂牌钻头,,8,2016-11-27 10:44:00,03_02_03,,
易力得开口两用扳手工具包,E1512,1,2016-11-27 10:44:00,03_02_03,,
SATA开口两用扳手工具包,09027,1,2016-11-27 10:44:00,03_02_03,,
SATA开口两用扳手工具包,08610,3,2016-11-27 10:44:00,03_02_03,,
STANLEY一字形螺丝刀,65-971,,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,61315,2,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,61314,1,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,61313,2,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,61312,1,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,61311,1,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,62822,,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,62811,,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,63411,1,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,62207,1,2016-11-27 10:44:00,03_02_03,,
SATA一字形螺丝刀,62501,,2016-11-27 10:44:00,03_02_03,,
杂牌一字形螺丝刀,,,2016-11-27 10:44:00,03_02_03,,
SATA十字形螺丝刀,61214,2,2016-11-27 10:44:00,03_02_03,,
SATA十字形螺丝刀,61213,1,2016-11-27 10:44:00,03_02_03,,
SATA十字形螺丝刀,62314,1,2016-11-27 10:44:00,03_02_03,,
SATA十字形螺丝刀,61102,,2016-11-27 10:44:00,03_02_03,,
SATA十字形螺丝刀,63573,1,2016-11-27 10:44:00,03_02_03,,
SATA十字形螺丝刀,无型号,1,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,63415,1,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,61705,1,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,61102,2,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,61108,1,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,63505,2,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,63502,2,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,62907,,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,62911,1,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,62916,,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,63511,1,0000-00-00 00:00:00,03_02_03,,
SATA十字形螺丝刀,63512,1,0000-00-00 00:00:00,03_02_03,,
SATA内六角套,09106,1,0000-00-00 00:00:00,03_02_03,,
鑫达内六角套,XD-9004,1,0000-00-00 00:00:00,03_02_03,,
YATO内六角套,YT-58825,2,0000-00-00 00:00:00,03_02_03,,
SATA内六角套,09106,1,0000-00-00 00:00:00,03_02_03,,
易力得内六角套,T45,1,0000-00-00 00:00:00,03_02_03,,
杂牌内六角,,1,0000-00-00 00:00:00,03_02_03,,
YATO绝缘一字螺丝刀,,8,0000-00-00 00:00:00,03_02_03,,
YATO绝缘一字螺丝刀,,5,0000-00-00 00:00:00,03_02_03,,
YATO绝缘一字螺丝刀,,5,0000-00-00 00:00:00,03_02_03,,
YATO绝缘一字螺丝刀,,3,0000-00-00 00:00:00,03_02_03,,
YATO绝缘一字螺丝刀,,3,0000-00-00 00:00:00,03_02_03,,
YATO绝缘十字螺丝刀,,6,0000-00-00 00:00:00,03_02_03,,
YATO绝缘十字螺丝刀,,5,0000-00-00 00:00:00,03_02_03,,
YATO绝缘十字螺丝刀,,3,0000-00-00 00:00:00,03_02_03,,
YATO绝缘十字螺丝刀,,8,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘一字螺丝刀,1205082,9,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘一字螺丝刀,1205066,3,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘一字螺丝刀,1205079,6,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘一字螺丝刀,1209114,3,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘一字螺丝刀,1207404,,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘一字螺丝刀,1205037,1,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘一字螺丝刀,SZS,,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘一字螺丝刀,SZS,,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1212536,9,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1212599,6,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1206463,7,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1205163,3,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1205105,1,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1206450,4,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1206463,,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1205147,3,0000-00-00 00:00:00,03_02_03,,
菲尼克斯绝缘十字螺丝刀,1206447,6,0000-00-00 00:00:00,03_02_03,,
SATA绝缘一字螺丝刀,63415,1,0000-00-00 00:00:00,03_02_03,,
SATA绝缘十字螺丝刀,61708,1,0000-00-00 00:00:00,03_02_03,,
SATA绝缘十字螺丝刀,63502,1,0000-00-00 00:00:00,03_02_03,,
杂牌一字形螺丝刀,,2,0000-00-00 00:00:00,03_02_03,,
YATO锯弓,YT-3163,2,0000-00-00 00:00:00,03_02_03,,
YATO锯弓,YT-31631,5,0000-00-00 00:00:00,03_02_03,,
SATA锯弓,93404,4,0000-00-00 00:00:00,03_02_03,,
WYNNS锯弓,,2,0000-00-00 00:00:00,03_02_03,,
普通锯弓,,1,0000-00-00 00:00:00,03_02_03,,
SATA吸铁器,64102,1,0000-00-00 00:00:00,03_02_03,,
